document	label
한국도 「헌법」에 인권을 위한 기본적인 원칙들을 규정함과 동시에 여성, 장애 인, 외국인, 난민, 아동 등 소수자의 권리를 보장하기 위한 법령과 제도들을 발전시켜 왔다. 개별 소수자 집단의 권리가 의제화되고 법과 제도로서 본격적으로 보장되기 시작한 비교적 근래의 일이다. 민주화 과정을 거치면서 소수자 집단들이 스스로 권리 투쟁에 나섰고, 소수자 집단의 집단적인 투쟁도 본격화되었다. 그 성과로 어떤 문제는 법제화되기도 했고, 사법부에 의해 인권 보장의 계기가 마련되기도 했다. 1987년 「남녀고용평등법」 제정, 1995년 「여성발전기본법」 제정 (현행 「양성평등기본법」) , 2008년 「장애인차별금지법」, 2016년 「난민법」 등이 대표적으로 소수자의 권리가 법제화된 사례라고 할 수 있고, 몇몇 지방자치단체의 학생인권 조례 제정 등도 그 성과라고 할 수 있다. 호주제 폐지, 양심적 병역거부 인정, 성전환자 호적 정정 인정 등 법원과 헌법재판소가 소수자 권리 보장의 계기를 마련한 경우도 있다. 	0
인권은 누구에게나 있는 것이지만, 인권이라는 개념은 소수자의 권리를 보장 하기 위해 발전해 왔다. 다수의 힘으로 소수자의 권리를 침해하는 경우가 빈번했고, 민주주의가 정착된 곳에서도 다수결이라는 의사결정원리를 무분별하게 적용 하여 소수자의 의견을 무시하고 소수자의 권리를 침해하는 경우가 있기 때문이다.	0
소비자의 권리는 「헌법」 상 기본권의 형태로 구체화되어 있지는 않다. 단지 「헌법」 제124조에서 “국가는 건전한 소비행위를 계도하고 생산품의 품질향상을 촉구하기 위한 소비자보호운동을 법률이 정하는 바에 의하여 보장한다.”라고 하여 소비자보호운동에 대한 보호를 선언하고 있을 뿐이다. 그러나 이러한 소비자운동에 대한 헌법적 보장은 곧 소비자의 권리를 전제한 것으로 이해하는 것이 일반적 이다.	0
헌법재판소는 자유시장경제의 경쟁의 원리와 관련하여 소비자의 권리를 간접 적으로 인정하고 있다. “소비자는 물품 및 용역의 구입·사용에 있어서 거래의 상대방, 구입 장소, 가격, 거래조건 등을 자유로이 선택할 권리를 가진다. 소비자가 시장 기능을 통하여 생산의 종류, 양과 방향을 결정하는 소비자주권의 사고가 바탕을 이루는 자유시장경제에서는 경쟁이 강화될수록 소비자는 자신의 욕구를 보다 유리하게 시장에서 충족시킬 수 있고, 자신의 구매결정을 통하여 경쟁 과정에 영향을 미칠 수 있기 때문에 경쟁은 소비자보호의 포기할 수 없는 중요한 구성 부분이다.”	0
헌법재판소는 자유시장경제의 경쟁의 원리와 관련하여 소비자의 권리를 간접 적으로 인정하고 있다. “소비자는 물품 및 용역의 구입·사용에 있어서 거래의 상대방, 구입 장소, 가격, 거래조건 등을 자유로이 선택할 권리를 가진다. 소비자가 시장 기능을 통하여 생산의 종류, 양과 방향을 결정하는 소비자주권의 사고가 바탕을 이루는 자유시장경제에서는 경쟁이 강화될수록 소비자는 자신의 욕구를 보다 유리하게 시장에서 충족시킬 수 있고, 자신의 구매결정을 통하여 경쟁 과정에 영향을 미칠 수 있기 때문에 경쟁은 소비자보호의 포기할 수 없는 중요한 구성 부분이다.”	0
한국은 1990년 「아동권리협약」에 서명하고 1991년 이를 비준함으로써 협약 당사국이 되었고 2004년 「아동매매, 아동매춘, 아동포르노그라 피에 관한 선택의정서」와 「아동의 무력분쟁에 관한 선택의정서」 를 비준했다. 협약가입시 국내법 불일치를 이유로 유보했던 부모로부터 분리된 아동의 면접교섭권 보장, 권위 있는 정부당국에 의한 입양허가제는 각각 2008년과 2017년에 유보를 철회했고, 2020년 현재 범법행위를 한 아동이 상급사법당국의 심사를 받을 상소권 보장 조항만 유보상태에 있다. 한국은 2020년 현재까지 개인 청원절차에 관한 「아동권리협약 선택의정서」에는 비준하지 않고 있다. 	0
「세계인권선언」 제26조는 “모든 사람은 교육을 받을 권리를 가진다.”라고 천명하며, “교육은 인격의 완전한 발전과 인권 및 기본적 자유에 대한 존중의 강화를 목표로 하여야 한다.”고 규정한다. 「사회권규약」은 제13조에서 교육에 대한 권리를 확인하면서, 이를 실현하기 위한 국가의 의무로 △보편적 초등무상교육, △중 등교육에서의 점진적 무상교육 도입, △고등교육에 대한 동등한 기회 보장, △평 생교육의 장려와 강화, △연구·장학제도 및 교직원의 처우 개선 등 학교제도의 발전 강구 등을 규정하고 있다.	0
「대한민국헌법」 제31조 제1항은 “모든 국민은 능력에 따라 균등하게 교육을 받을 권리를 가진다.”라고 규정하여 국민의 교육을 받을 권리를 보장하고 있다. 이권리는 통상 국가에 의한 교육 여건의 개선·정비와 교육 기회의 균등한 보장을 적극적으로 구할 수 있는 권리로 이해되고 있다. 교육을 받을 권리의 보장은 인간으 로서의 존엄과 가치를 가지며 행복을 추구하고 인간다운 생활을 영위하는 데 필수 적인 조건이자 대전제이다. 「헌법」 제31조 제2항 내지 제6항은 교육을 받을 권리의 효과적인 보장을 위해, △자녀에게 소정의 교육을 받게 할 의무, △의무교육의 무상성 (無償性) , △교육의 자주성·전문성·정치적 중립성 및 대학의 자율성, △평생교 육의 진흥, △교육제도와 그 운영·교육재정 및 교원의 지위에 관한 법률주의를 규정하고 있다.	0
「세계인권선언」 제16조는 “성인 남녀는 인종, 국적 또는 종교에 따른 어떠한 제한도 없이 혼인하고 가정을 이룰 권리를 가진다.”, “그들은 혼인에 대하여, 혼인 기간 중 그리고 혼인해소시에 동등한 권리를 향유할 자격이 있다.”, “혼인은 장래 배우자들의 자유롭고 완전한 동의하에서만 성립된다.”, “가정은 사회의 자연적이고 기초적인 단위이며, 사회와 국가의 보호를 받을 권리가 있다.”라고 혼인과 가정 생활의 권리를 규정한다. 「사회권규약」 제10조도 혼인이 당사자의 자유로운 동의에 의해 성립될 것, 가정에, 특히 가정의 성립과 가정을 통한 어린이의 양육과 교육에 광범위한 보호와 지원이 부여되어야 할 것을 규정한다.	0
「대한민국헌법」은 제36조 제1항에서 “혼인과 가족생활은 개인의 존엄과 양성의 평등을 기초로 성립되고 유지되어야 하며, 국가는 이를 보장한다.”라고 규정하여 혼인과 가족생활에 관한 권리를 명시적으로 보장하고 있다. 이러한 헌법규정은 혼인제도와 가족제도는 인간의 존엄과 민주주의원리에 따라 규정되어야 함을 천명한 것이라고 할 수 있다. 따라서 혼인에 있어서도 개인의 존엄과 혼인 당사자 간의 본질적 평등의 바탕 위에서 모든 국민은 스스로 혼인을 할 것인가 하지 않을 것인가를 결정할 수 있다. 혼인을 하는 경우에도 그시기는 물론 상대방을 자유의사로 선택할 수 있으며, 이러한 결정에 따라 혼인과 가족생활을 유지할 수 있고 국가는 이를 보장해야 한다.	0
